"ID","ProvideJobs","Prices","HealthCare","Elderly","Industry","Unemployed","IncInequal","College","Housing","Environment"
321,3,2,1,1,1,3,4,1,3,2
322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,3,2,1,1,2,3,2,1,3,2
327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,1,1,1,2,2,2,3,2,2,2
343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,2,2,3,3,3,3,3,2,2,2
346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,NA,1,1,1,2,2,3,1,1,1
349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,2,2,1,1,1,3,3,1,3,1
351,3,1,1,1,1,1,3,1,2,1
352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,1,1,1,1,1,1,2,1,1,2
354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,2,2,1,1,1,2,3,1,1,2
357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,2,1,1,1,1,1,1,1,2,1
360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,4,1,1,1,1,3,1,1,1,1
367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,4,1,1,1,1,1,2,1,1,1
369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,1,1,1,1,1,1,1,1,1,1
374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,2,1,1,1,2,1,NA,1,1,1
388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,2,2,1,1,1,2,1,1,1,1
395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,3,2,2,1,2,3,2,2,2,2
404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,2,2,1,1,1,2,2,1,1,2
418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,1,1,1,1,1,1,1,1,1,1
426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,1,1,1,1,1,1,1,1,1,1
431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,3,1,4,2,4,4,1,1,4,1
433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,2,2,2,2,3,2,3,1,2,1
437,4,3,1,1,2,3,NA,1,3,1
438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
